participantId,group,introduction,consent,pre-example,example,co2-emissions (s),global-warming-projection (s),pre-questionnaire,badge-questionaire-1,badge-questionaire-2,demographics-custom,footnote-questionaire-1,footnote-questionaire-2,total (s)
67eee89119de070d8b864f60,badge,25.386,85.163,101.994,244.958,594.208,585.092,6.563,493.972,33.96,40.057,0.0,0.0,2211.353
63956692bbbcfadf1156c3a2,footnote,29.464,15.003,12.974,38.328,423.76,411.582,3.678,0.0,0.0,29.99,88.996,51.719,1105.494
5827634ea80bf4000199994b,footnote,8.025,16.722,12.167,53.834,289.015,402.268,4.654,0.0,0.0,30.769,157.411,23.597,998.462
6697cf02d714e7ee3fdedcec,badge,48.738,9.651,91.507,186.321,424.748,407.699,6.244,180.829,35.267,23.303,0.0,0.0,1414.307
67f015260f679212b3c34caa,footnote,169.414,93.679,19.216,362.009,1102.644,1844.793,5.104,0.0,0.0,55.076,380.302,204.25,4236.487
55eb4774748092000baa97ee,badge,11.304,6.857,14.267,32.924,329.912,347.912,2.871,233.397,46.367,32.718,0.0,0.0,1058.529
65537e14439274fe5036b4d2,badge,27.877,13.884,13.203,31.572,762.301,696.195,6.088,1105.422,20.965,33.272,0.0,0.0,2710.779
5d879c06e645c60019847113,badge,19.111,6.64,6.9,18.385,128.747,276.374,2.358,214.251,14.804,28.893,0.0,0.0,716.4630000000001
667987c18f34110073ae20b7,footnote,6.311,5.016,9.015,36.636,340.868,488.004,2.588,0.0,0.0,19.726,194.329,25.991,1128.484
55c495d2fdf99b2d6cabb691,badge,3.073,2.342,74.07,19.294,118.304,194.739,7.985,124.71,28.596,405.917,0.0,0.0,979.03
67d088ccec81d322ccede723,badge,39.207,21.896,10.329,39.133,186.887,262.373,7.655,248.222,25.913,54.233,0.0,0.0,895.848
67f9613e658e3cf579bf5c25,footnote,3.225,14.274,8.085,95.318,152.368,248.887,2.364,0.0,0.0,27.163,99.076,24.095,674.855
66e4e41d14e1d19d88229740,footnote,59.737,24.035,34.838,96.451,603.957,241.094,517.815,0.0,0.0,30.113,140.935,24.386,1773.361
676578e9b3ad38588f8808ba,badge,5.237,3.096,13.001,102.219,894.172,965.963,2.979,144.122,22.712,34.799,0.0,0.0,2188.3
662e66138060bf4a9db8c159,footnote,15.903,53.326,23.974,105.301,634.312,634.379,10.711,0.0,0.0,58.803,407.636,162.31,2106.655
60cf0d251a90eb823bc9b740,badge,3.103,2.928,8.863,32.855,264.629,221.47,4.099,150.591,41.78,26.661,0.0,0.0,756.979
6369700320bc7dd22e733009,footnote,22.432,9.58,30.043,116.786,295.137,333.849,5.361,0.0,0.0,30.414,97.401,21.521,962.524
7b88dea0-0445-4362-b670-01be60f5195b,footnote,10.223,172.694,6.274,142.597,109.427,383.473,3.608,0.0,0.0,44.22,189.244,78.058,1139.818
782e2f94-ade5-4279-94aa-9dcdb26abbcd,badge,34.991,89.941,13.487,82.871,281.674,413.173,4.79,283.704,232.772,29.46,0.0,0.0,1466.863
5101b146-ce6f-4f61-8818-118229a2308b,badge,5.65,26.834,39.602,87.872,770.745,732.861,3.003,273.844,27.075,34.136,0.0,0.0,2001.622
