group,participantId,saliency,clutter,interpretability,usefulness,trust,standardization
badge,67d088ccec81d322ccede723,3,4,4,5,4,5
footnote,67f9613e658e3cf579bf5c25,2,5,2,3,5,5
footnote,66e4e41d14e1d19d88229740,5,2,3,4,4,5
badge,676578e9b3ad38588f8808ba,4,4,5,5,5,5
footnote,662e66138060bf4a9db8c159,4,2,4,5,5,5
badge,60cf0d251a90eb823bc9b740,3,2,2,3,3,2
footnote,6369700320bc7dd22e733009,5,1,3,4,3,5
footnote,7b88dea0-0445-4362-b670-01be60f5195b,4,4,2,3,2,2
badge,782e2f94-ade5-4279-94aa-9dcdb26abbcd,3,2,4,4,5,4
badge,5101b146-ce6f-4f61-8818-118229a2308b,5,1,5,4,1,5
