group,participantId,participantIndex,prolificPid,saliency_badges,saliency_footnotes,clutter_badges,clutter_footnotes,interpretability_badges,interpretability_footnotes,usefulness_badges,usefulness_footnotes,trust_badges,trust_footnotes,standardization_badges,standardization_footnotes,final_comments
badges,55c495d2fdf99b2d6cabb691,13,55c495d2fdf99b2d6cabb691,4,5,2,4,4,3,4,4,4,5,5,4,
badges,65537e14439274fe5036b4d2,12,65537e14439274fe5036b4d2,4,3,2,4,4,3,4,3,4,3,4,3,no
badges,55eb4774748092000baa97ee,10,55eb4774748092000baa97ee,3,5,1,4,5,5,5,5,3,4,5,4,I feel the footnotes look more official somehow because they remind me of legal disclaimers. Just my opinion :-)
badges,60cf0d251a90eb823bc9b740,9,60cf0d251a90eb823bc9b740,4,5,1,3,5,2,5,3,4,4,5,3,"Footnotes are okay and do provide a lot of extra context and useful information, but are a lot harder to read through and extract more specific information you are looking for. Visualisation badges make interpreting the data a lot faster and clearer in comparison"
badges,6697cf02d714e7ee3fdedcec,8,6697cf02d714e7ee3fdedcec,2,5,1,1,3,3,4,4,4,4,2,5,N/A
badges,5dcfaad2dd9a740c2493fc28,7,5dcfaad2dd9a740c2493fc28,5,5,1,3,5,2,5,3,5,5,5,2,
badges,676578e9b3ad38588f8808ba,6,676578e9b3ad38588f8808ba,4,5,2,5,5,1,4,2,5,2,4,4,
badges,67d088ccec81d322ccede723,5,67d088ccec81d322ccede723,4,5,4,3,4,4,3,4,5,4,4,5,NA
badges,5d879c06e645c60019847113,4,5d879c06e645c60019847113,5,5,1,4,5,3,5,3,5,4,5,3,
footnotes,662e66138060bf4a9db8c159,12,662e66138060bf4a9db8c159,5,4,1,3,5,5,5,5,5,5,5,3,"The badges have won me over. I don't see any reason to go back to using endnotes or footnotes in scientific communication unless the media are static such as in paper and cardboard. For computers and the www badges do everything better. They have the same information quantity and quality, they offer better organization, and they allow researchers to make better use of space which is a scarce resource for infographics. "
footnotes,63956692bbbcfadf1156c3a2,11,63956692bbbcfadf1156c3a2,5,3,2,2,5,1,5,4,4,4,5,3,
footnotes,62d59b380be0866cf039e0ee,10,62d59b380be0866cf039e0ee,5,4,2,4,5,3,5,4,4,3,5,4,nothing further to add
footnotes,6630ec1ebe18d48a3cecb54e,9,6630ec1ebe18d48a3cecb54e,5,5,1,2,5,3,5,4,5,3,5,4,"I feel like both visualization types bring their own unique benefits towards improving the user's understanding of data representations, and can be used interchangeably depending on the type of audience and circumstances where the data will be shown.  "
footnotes,667987c18f34110073ae20b7,8,667987c18f34110073ae20b7,5,3,1,4,5,3,5,5,3,3,5,3,
footnotes,66e4e41d14e1d19d88229740,6,66e4e41d14e1d19d88229740,3,2,4,3,3,4,4,3,4,5,4,3,
footnotes,676572d1818b3b26ca9f6ce2,5,676572d1818b3b26ca9f6ce2,2,5,1,1,4,5,4,4,3,4,3,5,
